code,name
CH,Switzerland
AG,Aargau
AR,Appenzell Ausserrhoden
AI,Appenzell Innerrhoden
BL,Basel-Landschaft
BS,Basel-Stadt
BE,Bern
FR,Fribourg
GE,Geneva
GL,Glarus
GR,Graubunden
JU,Jura
LU,Luzern
NE,Neuchatel
NW,Nidwalden
OW,Obwalden
SH,Schaffhausen
SZ,Schwyz
SO,Solothurn
SG,St. Gallen
TG,Thurgau
TI,Ticino
UR,Uri
VS,Valais
VD,Vaud
ZG,Zug
ZH,Zurich
